"MSN","YYYYMM","Value","Column_Order","Description","Unit"
"CLPRPUS","198811","83283.636","1","Coal Production","Thousand Short Tons"
"CLPRPUS","198812","80584.221","1","Coal Production","Thousand Short Tons"
"CLPRPUS","198813","950265.278","1","Coal Production","Thousand Short Tons"
"CLPRPUS","198901","82330.822","1","Coal Production","Thousand Short Tons"
"CLPRPUS","198902","75414.376","1","Coal Production","Thousand Short Tons"
"CLPRPUS","198903","89421.046","1","Coal Production","Thousand Short Tons"
"CLPRPUS","198904","77455.832","1","Coal Production","Thousand Short Tons"
"CLPRPUS","198905","82775.678","1","Coal Production","Thousand Short Tons"
"CLPRPUS","198906","78794.697","1","Coal Production","Thousand Short Tons"
"CLPRPUS","198907","66600.787","1","Coal Production","Thousand Short Tons"
"CLPRPUS","198908","91348.566","1","Coal Production","Thousand Short Tons"
"CLPRPUS","198909","85114.815","1","Coal Production","Thousand Short Tons"
"CLPRPUS","198910","89872.618","1","Coal Production","Thousand Short Tons"
"CLPRPUS","198911","87236.399","1","Coal Production","Thousand Short Tons"
"CLPRPUS","198912","74363.154","1","Coal Production","Thousand Short Tons"
"CLPRPUS","198913","980728.79","1","Coal Production","Thousand Short Tons"
"CLPRPUS","199001","90561.024","1","Coal Production","Thousand Short Tons"
"CLPRPUS","199002","82021.209","1","Coal Production","Thousand Short Tons"
"CLPRPUS","199003","91601.883","1","Coal Production","Thousand Short Tons"
"CLPRPUS","199004","83167.465","1","Coal Production","Thousand Short Tons"
"CLPRPUS","199005","86518.76","1","Coal Production","Thousand Short Tons"
"CLPRPUS","199006","84592.337","1","Coal Production","Thousand Short Tons"
"CLPRPUS","199007","79797.709","1","Coal Production","Thousand Short Tons"
"CLPRPUS","199008","91841.73","1","Coal Production","Thousand Short Tons"
"CLPRPUS","199009","83120.068","1","Coal Production","Thousand Short Tons"
"CLPRPUS","199010","93424.216","1","Coal Production","Thousand Short Tons"
"CLPRPUS","199011","86763.139","1","Coal Production","Thousand Short Tons"
"CLPRPUS","199012","75665.987","1","Coal Production","Thousand Short Tons"
"CLPRPUS","199013","1029075.527","1","Coal Production","Thousand Short Tons"
"CLPRPUS","199101","86260.621","1","Coal Production","Thousand Short Tons"
"CLPRPUS","199102","83035.943","1","Coal Production","Thousand Short Tons"
"CLPRPUS","199103","85449.916","1","Coal Production","Thousand Short Tons"
"CLPRPUS","199104","79632.853","1","Coal Production","Thousand Short Tons"
"CLPRPUS","199105","80190.23","1","Coal Production","Thousand Short Tons"
"CLPRPUS","199106","77182.456","1","Coal Production","Thousand Short Tons"
"CLPRPUS","199107","80150.65","1","Coal Production","Thousand Short Tons"
"CLPRPUS","199108","89321.347","1","Coal Production","Thousand Short Tons"
"CLPRPUS","199109","81965.759","1","Coal Production","Thousand Short Tons"
"CLPRPUS","199110","90820.939","1","Coal Production","Thousand Short Tons"
"CLPRPUS","199111","82194.182","1","Coal Production","Thousand Short Tons"
"CLPRPUS","199112","79778.985","1","Coal Production","Thousand Short Tons"
"CLPRPUS","199113","995983.881","1","Coal Production","Thousand Short Tons"
"CLPRPUS","199201","87947.547","1","Coal Production","Thousand Short Tons"
"CLPRPUS","199202","82139.379","1","Coal Production","Thousand Short Tons"
"CLPRPUS","199203","85869.237","1","Coal Production","Thousand Short Tons"
"CLPRPUS","199204","82448.77","1","Coal Production","Thousand Short Tons"
"CLPRPUS","199205","80249.719","1","Coal Production","Thousand Short Tons"
"CLPRPUS","199206","80036.29","1","Coal Production","Thousand Short Tons"
"CLPRPUS","199207","80861.914","1","Coal Production","Thousand Short Tons"
"CLPRPUS","199208","84536.583","1","Coal Production","Thousand Short Tons"
"CLPRPUS","199209","83656.548","1","Coal Production","Thousand Short Tons"
"CLPRPUS","199210","86363.981","1","Coal Production","Thousand Short Tons"
"CLPRPUS","199211","80335.268","1","Coal Production","Thousand Short Tons"
"CLPRPUS","199212","83099.697","1","Coal Production","Thousand Short Tons"
"CLPRPUS","199213","997544.933","1","Coal Production","Thousand Short Tons"
"CLPRPUS","199301","80982.073","1","Coal Production","Thousand Short Tons"
"CLPRPUS","199302","76918.67","1","Coal Production","Thousand Short Tons"
"CLPRPUS","199303","85515.869","1","Coal Production","Thousand Short Tons"
"CLPRPUS","199304","79074.027","1","Coal Production","Thousand Short Tons"
"CLPRPUS","199305","73727.823","1","Coal Production","Thousand Short Tons"
"CLPRPUS","199306","80948.231","1","Coal Production","Thousand Short Tons"
"CLPRPUS","199307","70797.674","1","Coal Production","Thousand Short Tons"
"CLPRPUS","199308","76277.1","1","Coal Production","Thousand Short Tons"
"CLPRPUS","199309","80056.08","1","Coal Production","Thousand Short Tons"
"CLPRPUS","199310","81231.593","1","Coal Production","Thousand Short Tons"
"CLPRPUS","199311","79719.512","1","Coal Production","Thousand Short Tons"
"CLPRPUS","199312","80175.636","1","Coal Production","Thousand Short Tons"
"CLPRPUS","199313","945424.288","1","Coal Production","Thousand Short Tons"
"CLPRPUS","199401","76886.156","1","Coal Production","Thousand Short Tons"
"CLPRPUS","199402","81894.512","1","Coal Production","Thousand Short Tons"
"CLPRPUS","199403","96372.142","1","Coal Production","Thousand Short Tons"
"CLPRPUS","199404","87902.551","1","Coal Production","Thousand Short Tons"
"CLPRPUS","199405","82469.962","1","Coal Production","Thousand Short Tons"
"CLPRPUS","199406","86591.114","1","Coal Production","Thousand Short Tons"
"CLPRPUS","199407","77757.551","1","Coal Production","Thousand Short Tons"
"CLPRPUS","199408","94338.24","1","Coal Production","Thousand Short Tons"
"CLPRPUS","199409","88757.42","1","Coal Production","Thousand Short Tons"
"CLPRPUS","199410","85538.455","1","Coal Production","Thousand Short Tons"
"CLPRPUS","199411","86756.186","1","Coal Production","Thousand Short Tons"
"CLPRPUS","199412","88239.999","1","Coal Production","Thousand Short Tons"
"CLPRPUS","199413","1033504.288","1","Coal Production","Thousand Short Tons"
"CLPRPUS","199501","88953.083","1","Coal Production","Thousand Short Tons"
"CLPRPUS","199502","84471.665","1","Coal Production","Thousand Short Tons"
"CLPRPUS","199503","93695.769","1","Coal Production","Thousand Short Tons"
"CLPRPUS","199504","80660.058","1","Coal Production","Thousand Short Tons"
"CLPRPUS","199505","83874.087","1","Coal Production","Thousand Short Tons"
"CLPRPUS","199506","84818.173","1","Coal Production","Thousand Short Tons"
"CLPRPUS","199507","80093.422","1","Coal Production","Thousand Short Tons"
"CLPRPUS","199508","88711.639","1","Coal Production","Thousand Short Tons"
"CLPRPUS","199509","89052.32","1","Coal Production","Thousand Short Tons"
"CLPRPUS","199510","90573.103","1","Coal Production","Thousand Short Tons"
"CLPRPUS","199511","86778.922","1","Coal Production","Thousand Short Tons"
"CLPRPUS","199512","81291.529","1","Coal Production","Thousand Short Tons"
"CLPRPUS","199513","1032973.77","1","Coal Production","Thousand Short Tons"
"CLPRPUS","199601","83814.197","1","Coal Production","Thousand Short Tons"
"CLPRPUS","199602","84532.762","1","Coal Production","Thousand Short Tons"
"CLPRPUS","199603","91408.75","1","Coal Production","Thousand Short Tons"
"CLPRPUS","199604","89123.885","1","Coal Production","Thousand Short Tons"
"CLPRPUS","199605","89524.833","1","Coal Production","Thousand Short Tons"
"CLPRPUS","199606","84748.336","1","Coal Production","Thousand Short Tons"
"CLPRPUS","199607","89262.175","1","Coal Production","Thousand Short Tons"
"CLPRPUS","199608","95082.703","1","Coal Production","Thousand Short Tons"
"CLPRPUS","199609","87773.139","1","Coal Production","Thousand Short Tons"
"CLPRPUS","199610","94751.846","1","Coal Production","Thousand Short Tons"
"CLPRPUS","199611","86905.301","1","Coal Production","Thousand Short Tons"
"CLPRPUS","199612","86927.583","1","Coal Production","Thousand Short Tons"
"CLPRPUS","199613","1063855.51","1","Coal Production","Thousand Short Tons"
"CLPRPUS","199701","92827.796","1","Coal Production","Thousand Short Tons"
"CLPRPUS","199702","88440.583","1","Coal Production","Thousand Short Tons"
"CLPRPUS","199703","92811.858","1","Coal Production","Thousand Short Tons"
"CLPRPUS","199704","88429.433","1","Coal Production","Thousand Short Tons"
"CLPRPUS","199705","94782.932","1","Coal Production","Thousand Short Tons"
"CLPRPUS","199706","86923.703","1","Coal Production","Thousand Short Tons"
"CLPRPUS","199707","89194.811","1","Coal Production","Thousand Short Tons"
"CLPRPUS","199708","89741.873","1","Coal Production","Thousand Short Tons"
"CLPRPUS","199709","92713.452","1","Coal Production","Thousand Short Tons"
"CLPRPUS","199710","95009.516","1","Coal Production","Thousand Short Tons"
"CLPRPUS","199711","83727.718","1","Coal Production","Thousand Short Tons"
"CLPRPUS","199712","95328.107","1","Coal Production","Thousand Short Tons"
"CLPRPUS","199713","1089931.782","1","Coal Production","Thousand Short Tons"
"CLPRPUS","199801","98054.226","1","Coal Production","Thousand Short Tons"
"CLPRPUS","199802","87179.637","1","Coal Production","Thousand Short Tons"
"CLPRPUS","199803","96198.146","1","Coal Production","Thousand Short Tons"
"CLPRPUS","199804","92094.027","1","Coal Production","Thousand Short Tons"
"CLPRPUS","199805","90735.968","1","Coal Production","Thousand Short Tons"
"CLPRPUS","199806","92441.814","1","Coal Production","Thousand Short Tons"
"CLPRPUS","199807","90971.49","1","Coal Production","Thousand Short Tons"
"CLPRPUS","199808","91617.597","1","Coal Production","Thousand Short Tons"
"CLPRPUS","199809","95844.673","1","Coal Production","Thousand Short Tons"
"CLPRPUS","199810","97204.531","1","Coal Production","Thousand Short Tons"
"CLPRPUS","199811","90459.676","1","Coal Production","Thousand Short Tons"
"CLPRPUS","199812","94733.375","1","Coal Production","Thousand Short Tons"
"CLPRPUS","199813","1117535.16","1","Coal Production","Thousand Short Tons"
"CLPRPUS","199901","91518.177","1","Coal Production","Thousand Short Tons"
"CLPRPUS","199902","92615.89","1","Coal Production","Thousand Short Tons"
"CLPRPUS","199903","98890.657","1","Coal Production","Thousand Short Tons"
"CLPRPUS","199904","89792.274","1","Coal Production","Thousand Short Tons"
"CLPRPUS","199905","85668.761","1","Coal Production","Thousand Short Tons"
"CLPRPUS","199906","90958.467","1","Coal Production","Thousand Short Tons"
"CLPRPUS","199907","88554.029","1","Coal Production","Thousand Short Tons"
"CLPRPUS","199908","93433.602","1","Coal Production","Thousand Short Tons"
"CLPRPUS","199909","93111.749","1","Coal Production","Thousand Short Tons"
"CLPRPUS","199910","90637.969","1","Coal Production","Thousand Short Tons"
"CLPRPUS","199911","92393.6","1","Coal Production","Thousand Short Tons"
"CLPRPUS","199912","92856.255","1","Coal Production","Thousand Short Tons"
"CLPRPUS","199913","1100431.43","1","Coal Production","Thousand Short Tons"
"CLPRPUS","200001","87579.105","1","Coal Production","Thousand Short Tons"
"CLPRPUS","200002","87219.144","1","Coal Production","Thousand Short Tons"
"CLPRPUS","200003","99540.395","1","Coal Production","Thousand Short Tons"
"CLPRPUS","200004","81838.656","1","Coal Production","Thousand Short Tons"
"CLPRPUS","200005","88774.626","1","Coal Production","Thousand Short Tons"
"CLPRPUS","200006","90643.918","1","Coal Production","Thousand Short Tons"
"CLPRPUS","200007","84694.26","1","Coal Production","Thousand Short Tons"
"CLPRPUS","200008","96659.091","1","Coal Production","Thousand Short Tons"
"CLPRPUS","200009","89223.731","1","Coal Production","Thousand Short Tons"
"CLPRPUS","200010","92958.749","1","Coal Production","Thousand Short Tons"
"CLPRPUS","200011","90519.094","1","Coal Production","Thousand Short Tons"
"CLPRPUS","200012","83960.791","1","Coal Production","Thousand Short Tons"
"CLPRPUS","200013","1073611.56","1","Coal Production","Thousand Short Tons"
"CLPRPUS","200101","97080.285","1","Coal Production","Thousand Short Tons"
"CLPRPUS","200102","87129.707","1","Coal Production","Thousand Short Tons"
"CLPRPUS","200103","99560.202","1","Coal Production","Thousand Short Tons"
